电影名称,电影片长,上映时间,导演,评分
小小的白色谎言 Les petits mouchoirs,['154分钟'],['2010-10-20(法国)'],['吉约姆·卡内'],8.2
投靠女与出走男 駆込み女と駆出し男,['143分钟（日本）'],['2015-05-16(日本)'],['原田真人'],8.2
怪宴 Murder by Death,['94 分钟'],['1976-06-23'],['罗伯特·穆尔'],8.2
最后的假期 Last Holiday,['112 分钟'],['2006-01-13'],['王颖'],8.2
摩登保镖 摩登保鑣,['90 分钟'],['1981-01-30'],['许冠文'],8.2
小曼哈顿 Little Manhattan,['84分钟'],['2005-09-30'],['马克·莱温'],8.2
神秘列车 Mystery Train,['110 分钟'],['1989-09-06'],['吉姆·贾木许'],8.2
幸福的黄手帕 幸福の黄色いハンカチ,['109分钟'],['1977-10-01(日本)'],['山田洋次'],8.2
穿越美国 Transamerica,['103分钟'],['2005-12-23'],['邓肯·塔克'],8.2
不法之徒 Down by Law,['107分钟'],['1986-10-30(美国)'],['吉姆·贾木许'],8.2
我们与驻在先生的700日战争 ぼくたちと駐在さんの700日戦争,['110分钟'],['2008-04-05'],['塚本连平'],8.2
星际旅行4：抢救未来 Star Trek IV: The Voyage Home,['119 分钟'],['1986-11-26'],['伦纳德·尼莫伊'],8.2
小叮当：羽翼之谜 Secret of the Wings,['75分钟'],['2012-10-23(美国)'],"['罗伯茨·甘纳韦', '佩吉·霍姆斯']",8.2
沙滩上的宝莲 Pauline à la plage,['94 分钟'],['1983-03-23'],['埃里克·侯麦'],8.2
欢乐满人间 Mary Poppins,['139分钟'],['1964-08-27(美国)'],['罗伯特·斯蒂文森'],8.2
遇人不熟 運命じゃない人,['98分钟'],['2005-07-16'],['内田贤治'],8.2
情定日落桥 A Little Romance,['108 分钟'],['1979-04-27'],['乔治·罗伊·希尔'],8.2
简单西蒙 I rymden finns inga k?nslor,['85分钟'],['2010-09-03(瑞典)'],['Andreas ?hman'],8.2
宛如阿修罗 阿修羅のごとく,['135分钟'],"['2003-09-04(蒙特利尔电影节)', '2003-11-08(日本)']",['森田芳光'],8.2
下班后 After Hours,['97 分钟'],['1985-09-13'],['马丁·斯科塞斯'],8.2
虎度门,['87 分钟'],['1996-04-04'],['舒琪'],8.2
曼哈顿谋杀疑案 Manhattan Murder Mystery,['104分钟'],['1993-08-18(美国)'],['伍迪·艾伦'],8.2
心碎往事 House of D,['USA: 96 分钟(Tribeca Film Festival)'],['2004-05-07'],['大卫·杜楚尼'],8.2
骗徒臭事多 Dirty Rotten Scoundrels,['110 分钟'],['1988-12-14(美国)'],['弗兰克·奥兹'],8.2
小叮当：拯救精灵大作战 Tinker Bell and the Great Fairy Rescue,['76分钟'],['2010-09-21(美国)'],['布拉德利·雷蒙德'],8.2
哈洛与慕德 Harold and Maude,['91 分钟'],['1971-12-20'],['哈尔·阿什贝'],8.2
茶之味 茶の味,['143分钟'],['2004-07-17'],['石井克人'],8.2
与男孩同车 Riding in Cars with Boys,['132 分钟'],['2001-10-19'],['潘妮·马歇尔'],8.2
飞行员的妻子 La femme de l&#39;aviateur,['Argentina: 108 分钟'],['1981-03-04'],['埃里克·侯麦'],8.2
抢钱夫妻,['104 分钟'],['1993-12-22'],['张之亮'],8.2
少年泰坦出击电影版 Teen Titans Go! To the Movies,['84分钟'],['2018-07-27(美国)'],"['亚伦·霍瓦斯', '皮得·里达·米切尔']",8.2
世界第一初恋：求婚篇 世界一初恋 プロポーズ編,['21分钟'],['2020-02-21(日本)'],['高桥知也'],8.2
飞狗巴迪 Air Bud,['98 分钟'],['1997-08-01(美国)'],['查尔斯·马丁·史密斯'],8.2
双腿生风 Du vent dans mes mollets,['89分钟'],['2012-08-22(法国)'],['Carine Tardieu '],8.2
严密监视的列车 Ostre sledované vlaky,['93分钟'],['1966-11-18(捷克斯洛伐克)'],['伊日·门泽尔'],8.2
逗阵儿 逗陣ㄟ,['122分钟'],['2013-02-08(中国台湾)'],['卢金城'],8.2
来的都是客,['93分钟'],['1990'],"['马绍惠', '沈荣骥']",8.2
"幸福是一条温暖的毛毯 Happiness Is a Warm Blanket, Charlie Brown",['46分钟'],['2011-05-29(美国)'],"['Andrew Beall', 'Frank Molieri']",8.3
秘密与谎言 Secrets &amp; Lies,['136分钟'],['1996-05-24'],['迈克·李'],8.2
猎艳狂魔 Il mostro,['112 分钟'],['1994-10-22(美国)'],['罗伯托·贝尼尼'],8.2
战略大作战 Kelly&#39;s Heroes,['144分钟'],['1970-06-23(美国)'],['布莱恩·G·赫顿'],8.2
马达加斯加的企鹅：僵尸企鹅就是我 The Penguins of Madagascar: I Was a Penguin Zombie,[],['2010'],['Bret Haaland'],8.2
小孤星 Ponette,['97 分钟'],['1996-09-10'],['雅克·杜瓦隆'],8.2
升空号 Ariel,['73分钟'],['1988-10-21(芬兰)'],['阿基·考里斯马基'],8.2
找乐,['97 分钟'],['1993-09-10'],['宁瀛'],8.2
天堂里的烦恼 Trouble in Paradise,['83分钟'],['1932-10-21'],['恩斯特·刘别谦'],8.2
寻爱之旅 Heartlands,['90 分钟(Edinburgh Film Festival)'],['2003-04-27'],['戴米恩·奥唐纳'],8.2
克罗地亚宪法 Ustav Republike Hrvatske,['93分钟'],"['2016-09-03(蒙特利尔电影节)', '2016-10-06(克罗地亚)']",['拉伊科·格尔利奇'],8.2
三心两性 ハッシュ!,['135 分钟'],"['2001-05(戛纳电影节)', '2002-04-27(日本)']",['桥口亮辅'],8.2
葬礼 お葬式,['124分钟'],['1984-11-17(日本)'],['伊丹十三'],8.2
亚当的苹果 Adams ?bler,['94 分钟'],"['2005-04-15(丹麦)', '2006-08-31(德国)']",['安诺斯·托马斯·延森'],8.2
哔哩哔哩2019拜年祭,['188分钟'],['2019-02-04(中国大陆)'],['超然'],8.2
朝圣者 The Pilgrim,['59 分钟'],['1923-02-26'],['查理·卓别林'],8.2
烟 Smoke,['112 分钟'],['1995-06-09'],"['王颖', '保罗·奥斯特']",8.2
甜蜜的永远 Pelí?ky,['115分钟'],['1999-04-08(捷克)'],['扬·霍布雷克'],8.2
美女与野兽之幸福生活 Beauty and the Beast: Belle&#39;s Magical World,['92分钟'],['1998-02-17(美国)'],"['Cullen Blaine', '戴尔·凯斯', 'Daniel de la Vega', 'Barbara Dourmashkin', 'Bob Kline', 'Burt Medall', 'Mitch Rochon', 'Rick Leon']",8.2
便当盒里的小秘密 Stanley Ka Dabba,['96分钟'],['2011-05-13(印度)'],['阿莫尔·古普特'],8.2
木偶奇遇记 匹诺曹 pinocho,['85分钟'],['1986-12-04'],['Alejandro Malowicki'],8.2
猫和老鼠-海盗寻宝 Tom and Jerry: Shiver Me Whiskers,['USA: 74 分钟'],['2006-08-22'],['Scott Jeralds'],8.2
巴格达咖啡馆 Out of Rosenheim,['95 分钟'],['1987-11-12'],['Percy Adlon'],8.2
三天两夜 恋は舞い降りた,[],['1997-05-17'],['长谷川康夫'],8.2
追梦者 The Commitments,['118 分钟'],['1991-08-14'],['艾伦·帕克'],8.2
追火车日记 Sztuczki,[],['2007-10-25'],['安杰伊·亚基莫夫斯基'],8.2
只爱陌生人 Gadjo dilo,['102 分钟'],['1997-08-10'],['托尼·加列夫'],8.2
告别昨日 Breaking Away,['101 分钟'],['1979-07-20'],['彼得·叶茨'],8.2
最后一杯酒 En el último trago,['93分钟'],['2015-04-10(墨西哥)'],['Jack Zagha Kababie'],8.2
浮生狂想曲 Tuvalu,['101 分钟'],['1999-11-19'],['法伊特·赫尔默'],8.2
丑陋的罗马人 Brutti sporchi e cattivi,['115 分钟'],['1976-12-15'],['埃托尔·斯科拉'],8.2
有时快乐有时悲伤 Kabhi Khushi Kabhie Gham...,['210 分钟'],['2001-12-14'],['卡伦·乔哈尔'],8.2
简瑞里船长 Captain January,['77分钟'],['1936-04-17(美国)'],['大卫·巴特勒'],8.2
你好，李焕英,['128分钟'],['2021-02-12(中国大陆)'],['贾玲'],8.1
无名之辈,['108分钟'],['2018-11-16(中国大陆)'],['饶晓志'],8.1
那些年，我们一起追的女孩 那些年，我們一起追的女孩,['110分钟'],"['2012-01-06(中国大陆)', '2011-08-19(中国台湾)']",['九把刀'],8.1
功夫熊猫 Kung Fu Panda,['95分钟'],"['2008-06-20(中国大陆)', '2008-05-15(戛纳电影节)', '2008-06-06(美国)']","['马克·奥斯本', '约翰·斯蒂文森']",8.1
神偷奶爸2 Despicable Me 2,['99分钟(中国大陆)'],"['2014-01-10(中国大陆)', '2013-07-03(美国)']","['皮埃尔·柯芬', '克里斯·雷纳德']",8.1
无敌破坏王2：大闹互联网 Ralph Breaks the Internet,['112分钟'],"['2018-11-23(中国大陆)', '2018-11-21(美国)']","['菲尔·约翰斯顿', '瑞奇·摩尔']",8.1
超人总动员 The Incredibles,['115分钟'],"['2005-01-28(中国大陆)', '2004-11-05(美国)']",['布拉德·伯德'],8.1
欢乐好声音 Sing,['108分钟'],"['2017-02-17(中国大陆)', '2016-09-11(多伦多电影节)', '2016-12-21(美国)']","['加斯·詹宁斯', '克里斯托夫·卢尔德莱']",8.1
帕丁顿熊2 Paddington 2,['103分钟'],"['2017-12-08(中国大陆)', '2017-11-10(英国)']",['保罗·金'],8.1
冰川时代2：融冰之灾 Ice Age: The Meltdown,['91 分钟'],"['2006-06-09(中国大陆)', '2014-10-13(中国大陆 3D)', '2006-03-31(美国)']",['卡洛斯·沙尔丹哈'],8.1
蒂凡尼的早餐 Breakfast at Tiffany&#39;s,['115 分钟'],['1961-10-05'],['布莱克·爱德华兹'],8.1
冰川时代4 Ice Age: Continental Drift,['88分钟'],"['2012-07-27(中国大陆)', '2012-06-27(法国)', '2012-07-13(美国)']","['麦克·特米尔', '史蒂夫·马蒂诺']",8.1
猫的报恩 猫の恩返し,['75 分钟'],['2002-07-19(日本)'],['森田宏幸'],8.1
花与爱丽丝 花とアリス,['135分钟'],['2004-03-13(日本)'],['岩井俊二'],8.1
你丫闭嘴！ Tais-toi!,['85分钟'],['2003-10-22(法国)'],['弗朗西斯·韦贝尔'],8.1
斗牛,['109分钟'],"['2009-09-11(中国大陆)', '2009-09-10(威尼斯电影节)']",['管虎'],8.1
