标题,日期,阅读次数,正文
向着全面建成小康社会奋力冲刺——从“十三五”规划纲要编制看治国理政新实践,2016/04/15,2327,向着全面建成小康社会奋力冲刺——从“十三五”规划纲要编制看治国理政新实践
【新闻联播】内蒙古：因地制宜撬动精准扶贫,2016/04/14,1178,【新闻联播】内蒙古：因地制宜撬动精准扶贫
【新闻联播】湖南：小额信贷助力精准脱贫,2016/04/14,1472,【新闻联播】湖南：小额信贷助力精准脱贫
“四个聚焦、四个着力”抓好精准扶贫精准脱贫,2016/04/12,21800,“四个聚焦、四个着力”抓好精准扶贫精准脱贫
在多党合作服务改革发展实践中探索新经验——统一战线凝心聚力参与毕节试验区...,2016/04/11,5580,在多党合作服务改革发展实践中探索新经验——统一战线凝心聚力参与毕节试验区建设
【人民日报】让老区精神闪耀时代光芒（中国道路中国梦）,2016/04/11,2766,【人民日报】让老区精神闪耀时代光芒（中国道路中国梦）
湖北省委书记李鸿忠就选派机关干部到贫困村任第一书记作出批示把优秀机关干部...,2016/04/11,2886,湖北省委书记李鸿忠就选派机关干部到贫困村任第一书记作出批示把优秀机关干部派到扶贫开发主战场
辽宁省委书记李希出席辽宁省脱贫攻坚领导小组召开第一次全体会议,2016/04/11,2596,辽宁省委书记李希出席辽宁省脱贫攻坚领导小组召开第一次全体会议
国务院扶贫办党组传达学习中央“两学一做”工作座谈会精神,2016/04/08,1501,国务院扶贫办党组传达学习中央“两学一做”工作座谈会精神
国家宗教局举办三都党政干部扶贫工作培训班,2016/04/08,4187,国家宗教局举办三都党政干部扶贫工作培训班
吉林省委书记巴音朝鲁：坚定信心盯准目标苦干实干确保实现“十三五”脱贫...,2016/04/08,3211,吉林省委书记巴音朝鲁：坚定信心盯准目标苦干实干确保实现“十三五”脱贫攻坚良好开局
山西省委书记王儒林在吕梁市沿黄贫困县调研,2016/04/08,3405,山西省委书记王儒林在吕梁市沿黄贫困县调研
湖北省委书记李鸿忠：突击检查大悟县精准扶贫和村主职干部队伍建设工作,2016/04/08,4057,湖北省委书记李鸿忠：突击检查大悟县精准扶贫和村主职干部队伍建设工作
赵乐际在河南调研：发挥基层党组织的战斗堡垒作用,2016/04/08,1521,赵乐际在河南调研：发挥基层党组织的战斗堡垒作用
刘永富主任会见西藏自治区副主席其美仁增一行,2016/04/07,2567,刘永富主任会见西藏自治区副主席其美仁增一行
习近平对开展“两学一做”学习教育作出重要指示强调突出问题导向确保取得实...,2016/04/07,1925,习近平对开展“两学一做”学习教育作出重要指示强调突出问题导向确保取得实际成效把全面从严治党落
汪洋在甘肃调研精准扶贫建档立卡工作时强调：完善建档立卡促进精准扶贫,2016/04/05,4872,汪洋在甘肃调研精准扶贫建档立卡工作时强调：完善建档立卡促进精准扶贫
张高丽在湖南调研时强调：坚决打好脱贫攻坚战,2016/04/05,3010,张高丽在湖南调研时强调：坚决打好脱贫攻坚战
【新闻联播】刘云山在四川、云南调研，多次强调扶贫工作,2016/04/03,2016-04-03,【新闻联播】刘云山在四川、云南调研，多次强调扶贫工作
赵乐际在河南调研时强调充分发挥基层党组织在决胜全面小康中的战斗堡垒作用,2016/04/01,2647,赵乐际在河南调研时强调充分发挥基层党组织在决胜全面小康中的战斗堡垒作用
【人民日报】搬进搬出不搞拉郎配（政策解读）,2016/04/01,4559,【人民日报】搬进搬出不搞拉郎配（政策解读）
国务院扶贫办召开2016年党风廉政建设和反腐败工作会议,2016/04/01,6253,国务院扶贫办召开2016年党风廉政建设和反腐败工作会议
国务院扶贫办主任刘永富在川作脱贫攻坚专题辅导,2016/03/31,5513,国务院扶贫办主任刘永富在川作脱贫攻坚专题辅导
汪洋在金融扶贫工作座谈会上强调扭住精准创新机制加大金融扶贫力度,2016/03/30,4626,汪洋在金融扶贫工作座谈会上强调扭住精准创新机制加大金融扶贫力度
汪洋：深化认识明确责任加强督查保质保量完成年度脱贫任务,2016/03/29,5106,汪洋：深化认识明确责任加强督查保质保量完成年度脱贫任务
【人民日报】配强脱贫攻坚的“关键力量”（深度关注）,2016/03/29,5927,【人民日报】配强脱贫攻坚的“关键力量”（深度关注）
【晚间新闻】汪洋在京主持召开国务院扶贫开发领导小组第十次全体会议并讲话,2016/03/29,3064,【晚间新闻】汪洋在京主持召开国务院扶贫开发领导小组第十次全体会议并讲话
民建中央主席陈昌智率队赴贵州省毕节市黔西县考察扶贫工作,2016/03/28,5352,民建中央主席陈昌智率队赴贵州省毕节市黔西县考察扶贫工作
吉林省委书记巴音朝鲁在延边调研时强调以决战决胜气魄打好打赢脱贫攻坚战,2016/03/28,4974,吉林省委书记巴音朝鲁在延边调研时强调以决战决胜气魄打好打赢脱贫攻坚战
山西省委书记王儒林在忻州市沿黄贫困县调研时强调坚持脱贫攻坚生态建设紧密结...,2016/03/28,3208,山西省委书记王儒林在忻州市沿黄贫困县调研时强调坚持脱贫攻坚生态建设紧密结合实现群众增收环境改善互促双赢
四川省委书记王东明赴宜宾泸州调研检查指导专注发展转型发展和精准扶贫精准脱...,2016/03/25,3429,四川省委书记王东明赴宜宾泸州调研检查指导专注发展转型发展和精准扶贫精准脱贫等工作
更加精准精细精实地推进脱贫攻坚福建省长于伟国到龙岩调研脱贫攻坚工作,2016/03/25,5365,更加精准精细精实地推进脱贫攻坚福建省长于伟国到龙岩调研脱贫攻坚工作
湖南省省长杜家毫：坚决打好打赢脱贫攻坚战,2016/03/25,4581,湖南省省长杜家毫：坚决打好打赢脱贫攻坚战
吃透政策把准方向精准识别“挪穷窝”,2016/03/24,5730,吃透政策把准方向精准识别“挪穷窝”
央行等七部门加大金融扶贫力度,2016/03/24,4687,央行等七部门加大金融扶贫力度
孙春兰在统一战线聚力脱贫攻坚座谈会上强调：围绕打赢脱贫攻坚战精准发力,2016/03/24,3191,孙春兰在统一战线聚力脱贫攻坚座谈会上强调：围绕打赢脱贫攻坚战精准发力
孙春兰在贵州调研时强调：扎实做好统一战线定点扶贫工作,2016/03/23,2715,孙春兰在贵州调研时强调：扎实做好统一战线定点扶贫工作
聚力脱贫攻坚共铸小康伟业——统一战线参与脱贫攻坚工作综述,2016/03/23,4746,聚力脱贫攻坚共铸小康伟业——统一战线参与脱贫攻坚工作综述
【新闻联播】习近平主持召开中央全面深化改革领导小组第二十二次会议,2016/03/23,2016-03-23,【新闻联播】习近平主持召开中央全面深化改革领导小组第二十二次会议
【人民日报】抓好干部“支点”“撬动”扶贫攻坚（深度关注）,2016/03/22,3773,【人民日报】抓好干部“支点”“撬动”扶贫攻坚（深度关注）
加强现代农业建设多渠道增加农民收入确保实现“十三五”农业农村发展良好开...,2016/03/22,2928,加强现代农业建设多渠道增加农民收入确保实现“十三五”农业农村发展良好开局
中央编办调研组赴化德县调研定点扶贫工作,2016/03/22,4048,中央编办调研组赴化德县调研定点扶贫工作
延安答卷的乡情民意（今日谈）,2016/03/21,2738,延安答卷的乡情民意（今日谈）
精准脱贫的“延安答卷”,2016/03/21,3048,精准脱贫的“延安答卷”
专访国务院扶贫办主任刘永富“返贫”，是没有根本脱贫,2016/03/18,11879,专访国务院扶贫办主任刘永富“返贫”，是没有根本脱贫
习近平：精准扶贫要扶到点上、根上,2016/03/18,4125,习近平：精准扶贫要扶到点上、根上
刘永富主任主持召开办系统干部大会传达“两会”精神,2016/03/17,2016-03-17,刘永富主任主持召开办系统干部大会传达“两会”精神
国务院扶贫办党组召开“四风”问题集中检查动员部署会,2016/03/17,2016-03-17,国务院扶贫办党组召开“四风”问题集中检查动员部署会
刘永富：全力补齐全面建成小康社会的突出短板,2016/03/17,4453,刘永富：全力补齐全面建成小康社会的突出短板
汪洋：易地扶贫搬迁必须紧盯脱贫目标,2016/03/17,2658,汪洋：易地扶贫搬迁必须紧盯脱贫目标
打好全面建成小康社会决胜之战——习近平总书记同出席全国两会人大代表、政协...,2016/03/16,3523,打好全面建成小康社会决胜之战——习近平总书记同出席全国两会人大代表、政协委员共商国是纪实
国务院扶贫办主任刘永富在第十二届全国人民代表大会第四次会议闭幕会前接受媒...,2016/03/16,2016,国务院扶贫办主任刘永富在第十二届全国人民代表大会第四次会议闭幕会前接受媒体采访
刘永富：至少一半涉农资金可整合用于扶贫,2016/03/16,2864,刘永富：至少一半涉农资金可整合用于扶贫
刘永富主任会见湖南省副省长戴道晋一行,2016/03/15,1943,刘永富主任会见湖南省副省长戴道晋一行
刘永富主任主持研究扶贫开发先进典型和案例评审工作,2016/03/14,2401,刘永富主任主持研究扶贫开发先进典型和案例评审工作
扶贫办副主任郑文凯现场请委员出主意,2016/03/14,1797,扶贫办副主任郑文凯现场请委员出主意
洪天云副主任出席中央国家机关企事业单位定点扶贫青海工作座谈会,2016/03/14,1906,洪天云副主任出席中央国家机关企事业单位定点扶贫青海工作座谈会
王岐山在参加贵州代表团审议时强调：真正把中央的好政策落到贫困群众身上栗战...,2016/03/14,1341,王岐山在参加贵州代表团审议时强调：真正把中央的好政策落到贫困群众身上栗战书陈敏尔孙志刚参加审议
厅局级干部打赢脱贫攻坚战专题研讨班在京结业,2016/03/11,1727,厅局级干部打赢脱贫攻坚战专题研讨班在京结业
"习近平：横下一条心,打赢脱贫攻坚战",2016/03/11,1716,"习近平：横下一条心,打赢脱贫攻坚战"
四川省省长尹力：四川扶贫是在法制轨道上进行,2016/03/11,2131,四川省省长尹力：四川扶贫是在法制轨道上进行
全国人大代表、国务院扶贫办主任刘永富：扶贫资金不能撒“胡椒面”,2016/03/11,2120,全国人大代表、国务院扶贫办主任刘永富：扶贫资金不能撒“胡椒面”
河南省省长谢伏瞻：让460万人早日脱贫,2016/03/10,2005,河南省省长谢伏瞻：让460万人早日脱贫
四川省委书记王东明：坚决打赢四川脱贫攻坚这场硬仗,2016/03/10,2293,四川省委书记王东明：坚决打赢四川脱贫攻坚这场硬仗
脱贫攻坚战吹响集结号（习近平治国理政关键词(17)）,2016/03/10,2655,脱贫攻坚战吹响集结号（习近平治国理政关键词(17)）
习近平讲述“精准扶贫”背后的故事,2016/03/09,2942,习近平讲述“精准扶贫”背后的故事
范小建:低保的标准目前低于国家的扶贫标准,2016/03/09,1786,范小建:低保的标准目前低于国家的扶贫标准
贵州省省长孙志刚：以脱贫攻坚统揽贵州经济社会发展全局,2016/03/09,2112,贵州省省长孙志刚：以脱贫攻坚统揽贵州经济社会发展全局
两会聚焦：打赢脱贫攻坚战各省亮出“硬战术”,2016/03/09,1331,两会聚焦：打赢脱贫攻坚战各省亮出“硬战术”
四川省省长尹力：四川的扶贫工作可以用三句话来概括,2016/03/08,1901,四川省省长尹力：四川的扶贫工作可以用三句话来概括
云南省委书记李纪恒：唱民歌谈扶贫,2016/03/08,685,云南省委书记李纪恒：唱民歌谈扶贫
贵州省委书记陈敏尔：贵州一定能够完成中央要求打赢脱贫攻坚战,2016/03/08,1032,贵州省委书记陈敏尔：贵州一定能够完成中央要求打赢脱贫攻坚战
河南省省长谢伏瞻建议：支持中部崛起、农业、扶贫及根亲文化,2016/03/08,906,河南省省长谢伏瞻建议：支持中部崛起、农业、扶贫及根亲文化
【晚间新闻】2016两会·聚焦精准扶贫：一寸一策一户一法助贫困村脱贫,2016/03/07,322,【晚间新闻】2016两会·聚焦精准扶贫：一寸一策一户一法助贫困村脱贫
【晚间新闻】2016两会·聚焦精准扶贫：超4成因病致贫代表热议健康扶贫,2016/03/07,427,【晚间新闻】2016两会·聚焦精准扶贫：超4成因病致贫代表热议健康扶贫
李小鹏：脱贫是书记和我的共同责任,2016/03/07,1770,李小鹏：脱贫是书记和我的共同责任
﻿栗战书在参加贵州代表团审议时强调深入贯彻五大新发展理念集中力量打胜脱贫...,2016/03/07,1820,﻿栗战书在参加贵州代表团审议时强调深入贯彻五大新发展理念集中力量打胜脱贫攻坚战
欧青平出席脱贫致富带头人创业培训工作研讨会,2016/03/07,1819,欧青平出席脱贫致富带头人创业培训工作研讨会
【新闻联播】【两会新闻特写】凝心聚力“十三五”真知灼见谋发展,2016/03/03,793,【新闻联播】【两会新闻特写】凝心聚力“十三五”真知灼见谋发展
刘永富在国家行政学院授课时指出：以习近平总书记扶贫开发战略思想为指导坚决...,2016/03/03,2433,刘永富在国家行政学院授课时指出：以习近平总书记扶贫开发战略思想为指导坚决打赢脱贫攻坚战
【经济日报】啃下硬骨头减贫逾亿人,2016/03/03,2751,【经济日报】啃下硬骨头减贫逾亿人
刘延东考察四川教育扶贫工作：点亮大凉山的希望,2016/03/03,2757,刘延东考察四川教育扶贫工作：点亮大凉山的希望
【晚间新闻】两会热点抢先看,2016/03/03,1762,【晚间新闻】两会热点抢先看
【晚间新闻】汪洋：坚决打赢新时期扶贫攻坚战,2016/03/03,2610,【晚间新闻】汪洋：坚决打赢新时期扶贫攻坚战
汪洋：坚持精准扶贫精准脱贫方略坚决打赢新时期脱贫攻坚战,2016/03/03,6983,汪洋：坚持精准扶贫精准脱贫方略坚决打赢新时期脱贫攻坚战
[朝闻天下]“两会”这三年扶贫攻坚：绝不让一个群众掉队,2016/03/02,2666,[朝闻天下]“两会”这三年扶贫攻坚：绝不让一个群众掉队
从总理承诺的25组数字看政府一年成绩单,2016/03/02,None,None
新疆维吾尔自治区党委书记张春贤：扶贫先扶精气神,2016/03/02,2612,新疆维吾尔自治区党委书记张春贤：扶贫先扶精气神
洪天云副主任出席中央企业扶贫开发工作会议,2016/03/01,3954,洪天云副主任出席中央企业扶贫开发工作会议
新疆召开2016年扶贫开发领导小组第一次全体会议,2016/03/01,7702,新疆召开2016年扶贫开发领导小组第一次全体会议
2015年全国农村贫困人口减少1442万人,2016/02/29,7853,2015年全国农村贫困人口减少1442万人
吉林省省长蒋超良：精准发力聚焦重点坚决打好打赢脱贫攻坚战,2016/02/29,4855,吉林省省长蒋超良：精准发力聚焦重点坚决打好打赢脱贫攻坚战
新疆召开推进和田地区脱贫攻坚加快发展座谈会自治区党委书记张春贤出席,2016/02/29,5608,新疆召开推进和田地区脱贫攻坚加快发展座谈会自治区党委书记张春贤出席
【光明日报】扶贫考核“指挥棒”指向何方,2016/02/29,5615,【光明日报】扶贫考核“指挥棒”指向何方
栗战书在陕西宁陕县考察指导扶贫工作时强调有责任有感情勇担当打好脱贫攻坚战,2016/02/29,2426,栗战书在陕西宁陕县考察指导扶贫工作时强调有责任有感情勇担当打好脱贫攻坚战
汪洋在湖北调研易地扶贫搬迁工作时强调完善运作机制积极稳妥推进易地扶贫搬迁,2016/02/29,2727,汪洋在湖北调研易地扶贫搬迁工作时强调完善运作机制积极稳妥推进易地扶贫搬迁
刘延东在四川调研时强调：打好教育和卫生脱贫攻坚战,2016/02/29,4056,刘延东在四川调研时强调：打好教育和卫生脱贫攻坚战
湘西十八洞村的三本“扶贫账”,2016/02/26,5050,湘西十八洞村的三本“扶贫账”
《人民日报》以“精准治病”促精准扶贫（新论）,2016/02/26,4428,《人民日报》以“精准治病”促精准扶贫（新论）
24省份明确今年脱贫人口目标11地计划减贫达百万,2016/02/26,4393,24省份明确今年脱贫人口目标11地计划减贫达百万
广西壮族自治区党委书记彭清华：以决战决胜之势夺取脱贫攻坚新胜利,2016/02/25,4190,广西壮族自治区党委书记彭清华：以决战决胜之势夺取脱贫攻坚新胜利
湖北：千企帮千村脱贫奔小康精准扶贫行动启动,2016/02/25,4012,湖北：千企帮千村脱贫奔小康精准扶贫行动启动
以钉钉子精神抓实大扶贫战略行动,2016/02/24,3507,以钉钉子精神抓实大扶贫战略行动
检察机关、扶贫部门将联手防治扶贫领域职务犯罪,2016/02/24,3579,检察机关、扶贫部门将联手防治扶贫领域职务犯罪
国务院扶贫办召开2016年党的工作暨纪检工作会议,2016/02/23,4249,国务院扶贫办召开2016年党的工作暨纪检工作会议
刘永富主任与国家外国专家局张建国局长座谈,2016/02/23,3569,刘永富主任与国家外国专家局张建国局长座谈
农业部：以“产业＋扶贫”带动农村贫困户脱贫增收,2016/02/22,5057,农业部：以“产业＋扶贫”带动农村贫困户脱贫增收
总书记为何一直惦记赤溪村？,2016/02/22,4847,总书记为何一直惦记赤溪村？
栗战书在河南光山考察指导扶贫工作时强调以更细致更艰苦的工作做到精准扶贫,2016/02/22,4499,栗战书在河南光山考察指导扶贫工作时强调以更细致更艰苦的工作做到精准扶贫
国务院扶贫办主任刘永富看望慰问重庆市扶贫办干部职工,2016/02/18,4562,国务院扶贫办主任刘永富看望慰问重庆市扶贫办干部职工
水利部定点扶贫暨对口支援工作座谈会在重庆召开,2016/02/18,4369,水利部定点扶贫暨对口支援工作座谈会在重庆召开
国务院关于进一步健全特困人员救助供养制度的意见,2016/02/18,3128,国务院关于进一步健全特困人员救助供养制度的意见
[新闻联播]【治国理政新实践“十八洞村”扶贫故事】苗寨相亲携手脱贫见...,2016/02/18,3115,[新闻联播]【治国理政新实践“十八洞村”扶贫故事】苗寨相亲携手脱贫见曙光
黑龙江省省委书记王宪魁：把精准扶贫脱贫作为党委政府“一号工程”坚决打赢农...,2016/02/17,3967,黑龙江省省委书记王宪魁：把精准扶贫脱贫作为党委政府“一号工程”坚决打赢农村贫困人口脱贫攻坚战
中共中央办公厅国务院办公厅印发《省级党委和政府扶贫开发工作成效考核办法...,2016/02/17,2016-02-17,中共中央办公厅国务院办公厅印发《省级党委和政府扶贫开发工作成效考核办法》
解读省级扶贫成效考核办法四大看点,2016/02/17,7215,解读省级扶贫成效考核办法四大看点
【新闻联播】中共中央办公厅国务院办公厅印发《省级党委和政府扶贫开发工作...,2016/02/17,3887,【新闻联播】中共中央办公厅国务院办公厅印发《省级党委和政府扶贫开发工作成效考核办法》
【新闻联播】【治国理政新实践“十八洞村”扶贫故事】扶贫经验可复制活学...,2016/02/17,2788,【新闻联播】【治国理政新实践“十八洞村”扶贫故事】扶贫经验可复制活学活用奔小康
坚决打赢脱贫攻坚战——国务院扶贫办党组书记、主任刘永富答学习时报记者问,2016/02/16,7246,坚决打赢脱贫攻坚战——国务院扶贫办党组书记、主任刘永富答学习时报记者问
【新华网】：贫困人群新观察：不能漏了贫困“散户”,2016/02/16,3077,【新华网】：贫困人群新观察：不能漏了贫困“散户”
【新闻联播】【治国理政新实践“十八洞村”扶贫故事】栽下梧桐树引得“凤...,2016/02/16,2719,【新闻联播】【治国理政新实践“十八洞村”扶贫故事】栽下梧桐树引得“凤凰”来
我国将第三次制定千万减贫计划,2016/02/15,5177,我国将第三次制定千万减贫计划
党的十八大以来扶贫开发工作成就启示,2016/02/14,6895,党的十八大以来扶贫开发工作成就启示
【新闻联播】【治国理政新实践“十八洞村”扶贫故事】选准产业脱贫按下快...,2016/02/14,1901,【新闻联播】【治国理政新实践“十八洞村”扶贫故事】选准产业脱贫按下快进键
【新闻联播】【治国理政新实践“十八洞村”扶贫故事】选准产业脱贫按下快...,2016/02/14,1577,【新闻联播】【治国理政新实践“十八洞村”扶贫故事】选准产业脱贫按下快进键
【新闻联播】新华社述评：为了让所有群众一道迈入全面小康社会,2016/02/14,2484,【新闻联播】新华社述评：为了让所有群众一道迈入全面小康社会
习近平眼中，扶贫工作需要攻克哪些难关？,2016/02/14,4429,习近平眼中，扶贫工作需要攻克哪些难关？
【人民日报】新的一年，农民能得哪些实惠,2016/02/14,3158,【人民日报】新的一年，农民能得哪些实惠
【人民日报】“天干饿不死手艺人”（金台视线•脱贫攻坚，说说我们的心里话）,2016/02/14,3140,【人民日报】“天干饿不死手艺人”（金台视线•脱贫攻坚，说说我们的心里话）
中共陕西省委陕西省人民政府关于贯彻落实《中共中央国务院关于打赢脱贫攻坚战...,2016/02/14,7238,中共陕西省委陕西省人民政府关于贯彻落实《中共中央国务院关于打赢脱贫攻坚战的决定》的实施意见
打响扶贫攻坚战“领路人”习近平不让一个人掉队,2016/02/10,3225,打响扶贫攻坚战“领路人”习近平不让一个人掉队
围炉夜话新农村（新春走基层）,2016/02/08,1830,围炉夜话新农村（新春走基层）
中央网信办力推网络精准扶贫,2016/02/07,1615,中央网信办力推网络精准扶贫
四个“精准”是落实习近平扶贫思想的重要法宝,2016/02/06,2909,四个“精准”是落实习近平扶贫思想的重要法宝
交通运输部部长杨传堂在部交通扶贫开发领导小组、农村公路建设领导小组会议上...,2016/02/05,2253,交通运输部部长杨传堂在部交通扶贫开发领导小组、农村公路建设领导小组会议上强调：紧扣底线目标聚焦关键问题抓早抓实抓好交通扶贫工作
国土资源部部长办公会审议通过用好用活增减挂钩支持扶贫开发,2016/02/05,2244,国土资源部部长办公会审议通过用好用活增减挂钩支持扶贫开发
【新闻联播】传承红色基因让人民生活蒸蒸日上,2016/02/04,1732,【新闻联播】传承红色基因让人民生活蒸蒸日上
【新闻联播】习近平春节前夕赴江西看望慰问广大干部群众祝全国各族人民健康...,2016/02/03,2444,【新闻联播】习近平春节前夕赴江西看望慰问广大干部群众祝全国各族人民健康快乐吉祥祝改革发展人民生活蒸蒸日上
【新闻联播】李克强在宁夏考察时强调以新理念新动能推结构升级促进经济发...,2016/02/03,1641,【新闻联播】李克强在宁夏考察时强调以新理念新动能推结构升级促进经济发展和社会公正
国务院扶贫办举办迎新春老干部座谈会,2016/02/03,2016-02-03,国务院扶贫办举办迎新春老干部座谈会
国土资源部部长姜大明赴赣南老区调研定点扶贫工作,2016/02/03,2633,国土资源部部长姜大明赴赣南老区调研定点扶贫工作
国土资源部部长姜大明：以新发展理念高标准推进定点扶贫,2016/02/03,4815,国土资源部部长姜大明：以新发展理念高标准推进定点扶贫
习近平春节前夕赴江西看望干部群众向老区和全国人民拜年,2016/02/03,4173,习近平春节前夕赴江西看望干部群众向老区和全国人民拜年
李克强到宁夏西海固考察慰问,2016/02/03,2777,李克强到宁夏西海固考察慰问
重庆市市长黄奇帆赴酉阳黔江看望慰问困难群众和贫困党员,2016/02/02,2337,重庆市市长黄奇帆赴酉阳黔江看望慰问困难群众和贫困党员
汪洋在河北考察扶贫工作时强调：充分发挥基层扶贫干部脱贫攻坚生力军作用,2016/02/02,3523,汪洋在河北考察扶贫工作时强调：充分发挥基层扶贫干部脱贫攻坚生力军作用
【新闻联播】中共中央办公厅国务院办公厅印发《关于加大脱贫攻坚力度支持革...,2016/02/02,2723,【新闻联播】中共中央办公厅国务院办公厅印发《关于加大脱贫攻坚力度支持革命老区开发建设的指导意见》
洪天云会见苏宁集团副董事长孙为民,2016/01/29,3124,洪天云会见苏宁集团副董事长孙为民
洪天云出席第一期中央和国家机关选派第一书记示范培训班开班式,2016/01/28,3390,洪天云出席第一期中央和国家机关选派第一书记示范培训班开班式
国务院扶贫开发领导小组专家咨询委员会年度工作会议召开,2016/01/28,4286,国务院扶贫开发领导小组专家咨询委员会年度工作会议召开
国务院扶贫办党组召开扩大会议传达学习中央纪委六次全会精神,2016/01/28,3257,国务院扶贫办党组召开扩大会议传达学习中央纪委六次全会精神
发挥生力军作用助力脱贫攻坚战——在共青团助力脱贫攻坚电视电话会议上的讲...,2016/01/28,5691,发挥生力军作用助力脱贫攻坚战——在共青团助力脱贫攻坚电视电话会议上的讲话
全国工商联国务院扶贫办中国光彩会召开电视电话会议推进“万企帮万村”...,2016/01/28,5028,全国工商联国务院扶贫办中国光彩会召开电视电话会议推进“万企帮万村”精准扶贫行动
刘永富主任出席共青团助力脱贫攻坚电视电话会议,2016/01/28,4882,刘永富主任出席共青团助力脱贫攻坚电视电话会议
发挥民营企业优势合力推进脱贫攻坚——在民营企业“万企帮万村”精准扶贫行...,2016/01/28,6443,发挥民营企业优势合力推进脱贫攻坚——在民营企业“万企帮万村”精准扶贫行动电视电话会议上的讲话
习近平春节“走亲戚”：满满的都是牵挂,2016/01/27,4045,习近平春节“走亲戚”：满满的都是牵挂
欧青平出席高校参与脱贫攻坚新闻发布会并讲话,2016/01/26,4235,欧青平出席高校参与脱贫攻坚新闻发布会并讲话
湖南：以脱贫攻坚统揽经济社会发展全局,2016/01/26,3775,湖南：以脱贫攻坚统揽经济社会发展全局
习近平牵挂的四件事，黑龙江落实的怎么样？,2016/01/25,None,None
中央国家机关工委常大光副书记一行慰问中国扶贫开发协会林嘉騋副会长,2016/01/25,4567,中央国家机关工委常大光副书记一行慰问中国扶贫开发协会林嘉騋副会长
中共国务院扶贫办党组关于巡视整改情况的通报,2016/01/25,4804,中共国务院扶贫办党组关于巡视整改情况的通报
国务院扶贫办与京东集团签署电商精准扶贫战略合作协议,2016/01/22,2016-01-22,国务院扶贫办与京东集团签署电商精准扶贫战略合作协议
汪洋在国务院扶贫开发领导小组会上强调坚决打好脱贫攻坚年度战役,2016/01/22,4436,汪洋在国务院扶贫开发领导小组会上强调坚决打好脱贫攻坚年度战役
﻿国务院扶贫开发领导小组宣讲调研慰问组到滇开展工作宣讲中央决策部署看望...,2016/01/21,4066,﻿国务院扶贫开发领导小组宣讲调研慰问组到滇开展工作宣讲中央决策部署看望慰问贫困群众
中央扶贫开发工作会议精神宣讲组在山西省进行宣讲调研慰问,2016/01/21,3534,中央扶贫开发工作会议精神宣讲组在山西省进行宣讲调研慰问
教育部副部长朱之文带队赴海南宣讲中央扶贫精神,2016/01/21,3445,教育部副部长朱之文带队赴海南宣讲中央扶贫精神
国务院副总理汪洋在湖南宣讲中央扶贫开发工作会议精神,2016/01/21,4226,国务院副总理汪洋在湖南宣讲中央扶贫开发工作会议精神
国家脱贫攻坚宣讲调研慰问组来重庆宣讲调研慰问,2016/01/20,3750,国家脱贫攻坚宣讲调研慰问组来重庆宣讲调研慰问
【新闻联播】【治国理政新实践·基层新答卷】刘土楼村的冬天,2016/01/19,2016-01-19,【新闻联播】【治国理政新实践·基层新答卷】刘土楼村的冬天
【焦点访谈】农民的“致富星”,2016/01/19,2016-01-19,【焦点访谈】农民的“致富星”
人民网评：以精准扶贫提升群众获得感,2016/01/19,4820,人民网评：以精准扶贫提升群众获得感
江泽林来鄂宣讲中央扶贫开发工作会议精神,2016/01/19,4178,江泽林来鄂宣讲中央扶贫开发工作会议精神
﻿三九天寒人心暖——中央扶贫开发工作会议精神宣讲组一行来吉林省宣讲慰问,2016/01/18,4138,﻿三九天寒人心暖——中央扶贫开发工作会议精神宣讲组一行来吉林省宣讲慰问
推动脱贫攻坚取得更大成效,2016/01/18,3929,推动脱贫攻坚取得更大成效
打好打赢脱贫攻坚战中央扶贫开发工作会议精神宣讲会在长春举行,2016/01/18,4075,打好打赢脱贫攻坚战中央扶贫开发工作会议精神宣讲会在长春举行
黑龙江谋划打赢脱贫攻坚战211万贫困农民5年全“摘帽”,2016/01/18,1073,黑龙江谋划打赢脱贫攻坚战211万贫困农民5年全“摘帽”
习近平军令如山！脱不了贫就脱“乌纱帽”,2016/01/18,4953,习近平军令如山！脱不了贫就脱“乌纱帽”
各省份布局新一轮扶贫2016年，攻坚战怎么打？,2016/01/18,4427,各省份布局新一轮扶贫2016年，攻坚战怎么打？
“网络媒体走转改”脱贫攻坚我们在路上,2016/01/18,4321,“网络媒体走转改”脱贫攻坚我们在路上
【新闻联播】【治国理政新实践·脱贫军令状】梯度搬迁“阳光院”助特困户脱...,2016/01/17,1015,【新闻联播】【治国理政新实践·脱贫军令状】梯度搬迁“阳光院”助特困户脱贫
【新闻联播】【治国理政新实践·脱贫军令状】建档立卡“回头看”确保扶真贫,2016/01/17,2893,【新闻联播】【治国理政新实践·脱贫军令状】建档立卡“回头看”确保扶真贫
【新闻联播】【治国理政新实践·脱贫军令状】坚持开发式扶贫既扶贫又扶志,2016/01/17,688,【新闻联播】【治国理政新实践·脱贫军令状】坚持开发式扶贫既扶贫又扶志
【新闻联播】【治国理政新实践·脱贫军令状】全面实现小康一个民族都不能少,2016/01/15,1139,【新闻联播】【治国理政新实践·脱贫军令状】全面实现小康一个民族都不能少
欧青平出席特色产业精准扶贫工作座谈会,2016/01/15,2016-01-15,欧青平出席特色产业精准扶贫工作座谈会
